Using TensorFlow backend.
2018-07-19 14:02:10.673107: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-07-19 14:02:11.196206: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1356] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:05:00.0
totalMemory: 15.90GiB freeMemory: 15.61GiB
2018-07-19 14:02:11.438879: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1356] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:06:00.0
totalMemory: 15.90GiB freeMemory: 15.61GiB
2018-07-19 14:02:11.710433: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1356] Found device 2 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:0d:00.0
totalMemory: 15.90GiB freeMemory: 15.61GiB
2018-07-19 14:02:11.964639: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1356] Found device 3 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:0e:00.0
totalMemory: 15.90GiB freeMemory: 15.61GiB
2018-07-19 14:02:11.977822: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1435] Adding visible gpu devices: 0, 1, 2, 3
2018-07-19 14:02:17.178073: I tensorflow/core/common_runtime/gpu/gpu_device.cc:923] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-07-19 14:02:17.178522: I tensorflow/core/common_runtime/gpu/gpu_device.cc:929]      0 1 2 3 
2018-07-19 14:02:17.178540: I tensorflow/core/common_runtime/gpu/gpu_device.cc:942] 0:   N Y Y Y 
2018-07-19 14:02:17.178546: I tensorflow/core/common_runtime/gpu/gpu_device.cc:942] 1:   Y N Y Y 
2018-07-19 14:02:17.178551: I tensorflow/core/common_runtime/gpu/gpu_device.cc:942] 2:   Y Y N Y 
2018-07-19 14:02:17.178556: I tensorflow/core/common_runtime/gpu/gpu_device.cc:942] 3:   Y Y Y N 
2018-07-19 14:02:17.180813: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1053] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15135 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:05:00.0, compute capability: 6.0)
2018-07-19 14:02:17.364214: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1053] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:1 with 15135 MB memory) -> physical GPU (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:06:00.0, compute capability: 6.0)
2018-07-19 14:02:17.548174: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1053] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:2 with 15135 MB memory) -> physical GPU (device: 2, name: Tesla P100-PCIE-16GB, pci bus id: 0000:0d:00.0, compute capability: 6.0)
2018-07-19 14:02:17.731979: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1053] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:3 with 15135 MB memory) -> physical GPU (device: 3, name: Tesla P100-PCIE-16GB, pci bus id: 0000:0e:00.0, compute capability: 6.0)
/home/rice/jmc32/DNN_for_Pt_Assignment-master/DNN_Hyperparameters/testingsavedmodels.py:124: UserWarning: The `nb_epoch` argument in `fit` has been renamed `epochs`.
  history = model.fit(x_train,y_train, nb_epoch=number_of_epochs, batch_size = set_batch_size)
Using New network
Epoch 1/168

  5434/990000 [..............................] - ETA: 2:59 - loss: 0.0889 - acc: 0.9588
 10868/990000 [..............................] - ETA: 1:36 - loss: 0.0888 - acc: 0.9602
 16302/990000 [..............................] - ETA: 1:08 - loss: 0.0873 - acc: 0.9601
 21736/990000 [..............................] - ETA: 54s - loss: 0.0855 - acc: 0.9605 
 27170/990000 [..............................] - ETA: 45s - loss: 0.0843 - acc: 0.9607
 32604/990000 [..............................] - ETA: 40s - loss: 0.0847 - acc: 0.9609
 38038/990000 [>.............................] - ETA: 36s - loss: 0.0846 - acc: 0.9610
 43472/990000 [>.............................] - ETA: 32s - loss: 0.0858 - acc: 0.9604
 48906/990000 [>.............................] - ETA: 30s - loss: 0.0867 - acc: 0.9601
 54340/990000 [>.............................] - ETA: 28s - loss: 0.0871 - acc: 0.9601
 59774/990000 [>.............................] - ETA: 26s - loss: 0.0865 - acc: 0.9603
 65208/990000 [>.............................] - ETA: 25s - loss: 0.0859 - acc: 0.9604
 70642/990000 [=>............................] - ETA: 24s - loss: 0.0866 - acc: 0.9603
 76076/990000 [=>............................] - ETA: 23s - loss: 0.0870 - acc: 0.9603
 81510/990000 [=>............................] - ETA: 22s - loss: 0.0865 - acc: 0.9603
 86944/990000 [=>............................] - ETA: 21s - loss: 0.0865 - acc: 0.9603
 92378/990000 [=>............................] - ETA: 21s - loss: 0.0863 - acc: 0.9604
 97812/990000 [=>............................] - ETA: 20s - loss: 0.0862 - acc: 0.9605
103246/990000 [==>...........................] - ETA: 19s - loss: 0.0860 - acc: 0.9606
108680/990000 [==>...........................] - ETA: 19s - loss: 0.0860 - acc: 0.9607
114114/990000 [==>...........................] - ETA: 18s - loss: 0.0859 - acc: 0.9607
119548/990000 [==>...........................] - ETA: 18s - loss: 0.0855 - acc: 0.9609
124982/990000 [==>...........................] - ETA: 18s - loss: 0.0854 - acc: 0.9609
130416/990000 [==>...........................] - ETA: 17s - loss: 0.0854 - acc: 0.9608
135850/990000 [===>..........................] - ETA: 17s - loss: 0.0853 - acc: 0.9607
141284/990000 [===>..........................] - ETA: 16s - loss: 0.0852 - acc: 0.9608
146718/990000 [===>..........................] - ETA: 16s - loss: 0.0853 - acc: 0.9607
152152/990000 [===>..........................] - ETA: 16s - loss: 0.0853 - acc: 0.9607
157586/990000 [===>..........................] - ETA: 16s - loss: 0.0851 - acc: 0.9607
163020/990000 [===>..........................] - ETA: 15s - loss: 0.0852 - acc: 0.9607
168454/990000 [====>.........................] - ETA: 15s - loss: 0.0852 - acc: 0.9606
173888/990000 [====>.........................] - ETA: 15s - loss: 0.0854 - acc: 0.9606
179322/990000 [====>.........................] - ETA: 15s - loss: 0.0854 - acc: 0.9605
184756/990000 [====>.........................] - ETA: 14s - loss: 0.0854 - acc: 0.9606
190190/990000 [====>.........................] - ETA: 14s - loss: 0.0854 - acc: 0.9606
195624/990000 [====>.........................] - ETA: 14s - loss: 0.0854 - acc: 0.9605
201058/990000 [=====>........................] - ETA: 14s - loss: 0.0856 - acc: 0.9604
206492/990000 [=====>........................] - ETA: 13s - loss: 0.0855 - acc: 0.9605
211926/990000 [=====>........................] - ETA: 13s - loss: 0.0856 - acc: 0.9605
217360/990000 [=====>........................] - ETA: 13s - loss: 0.0853 - acc: 0.9606
222794/990000 [=====>........................] - ETA: 13s - loss: 0.0852 - acc: 0.9607
228228/990000 [=====>........................] - ETA: 13s - loss: 0.0851 - acc: 0.9607
233662/990000 [======>.......................] - ETA: 13s - loss: 0.0851 - acc: 0.9606
239096/990000 [======>.......................] - ETA: 12s - loss: 0.0852 - acc: 0.9606
244530/990000 [======>.......................] - ETA: 12s - loss: 0.0851 - acc: 0.9606
249964/990000 [======>.......................] - ETA: 12s - loss: 0.0852 - acc: 0.9606
255398/990000 [======>.......................] - ETA: 12s - loss: 0.0852 - acc: 0.9606
260832/990000 [======>.......................] - ETA: 12s - loss: 0.0852 - acc: 0.9606
266266/990000 [=======>......................] - ETA: 12s - loss: 0.0853 - acc: 0.9606
271700/990000 [=======>......................] - ETA: 12s - loss: 0.0853 - acc: 0.9606
277134/990000 [=======>......................] - ETA: 11s - loss: 0.0856 - acc: 0.9606
282568/990000 [=======>......................] - ETA: 11s - loss: 0.0856 - acc: 0.9606
288002/990000 [=======>......................] - ETA: 11s - loss: 0.0855 - acc: 0.9606
293436/990000 [=======>......................] - ETA: 11s - loss: 0.0855 - acc: 0.9606
298870/990000 [========>.....................] - ETA: 11s - loss: 0.0856 - acc: 0.9606
304304/990000 [========>.....................] - ETA: 11s - loss: 0.0854 - acc: 0.9607
309738/990000 [========>.....................] - ETA: 11s - loss: 0.0854 - acc: 0.9607
315172/990000 [========>.....................] - ETA: 11s - loss: 0.0855 - acc: 0.9607
320606/990000 [========>.....................] - ETA: 10s - loss: 0.0855 - acc: 0.9607
326040/990000 [========>.....................] - ETA: 10s - loss: 0.0855 - acc: 0.9607
331474/990000 [=========>....................] - ETA: 10s - loss: 0.0856 - acc: 0.9607
336908/990000 [=========>....................] - ETA: 10s - loss: 0.0856 - acc: 0.9607
342342/990000 [=========>....................] - ETA: 10s - loss: 0.0857 - acc: 0.9607
