0,1.6e1,1.1e2,2,-1.6e1,1,0,1,5.04803e05
1,3.2e1,2.8e1,2,8,0,-1,5,3.42128e05
0,8.7e1,2.8e1,0,4,0,-1,-2,9.92783e05
1,1.7e1,0,0,0,0,0,0,5.23050e05
1,6.9e1,1.1e1,4,-4,1,-1,0,5.23188e05
0,2.5e1,9.6e1,0,-9,-1,-1,1,3.74017e05
1,6.3e1,2.8e1,4,3,7,0,-1,6.83591e05
1,1.9e1,1.4e1,4.5e1,-3.8e1,0,0,1,8.09851e05
1,4.6e1,4,0,1,-3,1,0,2.97073e05
1,7.0e1,4,-4,4,0,2,-3,5.42927e05
1,7.6e1,4,1.6e1,1,3,-4,0,1.35656e05
0,2.5e1,1.29e02,1.6e1,-6,-1,-1,1,9.34920e04
1,3.2e1,1.3e1,0,0,0,-2,1,9.43607e05
0,7.0e1,1.9e1,4,1,0,-1,1,7.39996e05
1,1.2e1,1.8e1,8,0,1,-1,1,3.75762e05
1,5.5e1,1.2e1,0,0,0,0,-3,2.05304e05
1,5.7e1,1.9e1,4,8,0,1,-6,4.01607e05
1,5.6e1,1.2e1,1.6e1,4,0,-1,-1,3.04805e05
1,7.1e1,9,4,0,1,-1,1,4.53823e05
0,6.7e1,9.2e1,0,-3.2e1,-5,-1,0,6.53272e05
1,1.8e1,1.1e1,-2,4,0,0,1,6.57986e05
1,4.2e1,2.3e1,2.8e1,-2.0e1,-1,-2,4,1.18114e05
0,5.4e1,5.6e1,-3,-1.2e1,0,-1,-1,3.96909e05
0,5.5e1,4.0e1,1.2e1,0,1,-1,-2,5.10249e05
1,7.1e1,4,0,0,1,-1,2,6.43e05
1,5.6e1,3,0,4,4,-3,0,1.78740e04
1,8.2e1,5,-1,0,1,0,0,8.84048e05
0,6.1e1,6.7e1,9,-1,0,-1,0,6.02980e04
1,5.6e1,1.2e1,-8,1,-1,1,-1,3.06902e05
1,1.0e1,6,-2,2,-1,0,1,4.07610e05
1,6.5e1,8,-1,9,0,-2,1,3.40296e05
0,6.1e1,8,-4,4,5,0,-1,1.52970e04
1,8.1e1,0,0,0,-1,1,-1,3.24343e05
1,7.6e1,4,-8,0,-2,1,0,7.04687e05
1,5.6e1,1.6e1,2.7e1,-1.1e1,-1,1,-1,2.08954e05
1,8.3e1,0,4,-4,0,-3,3,4.37700e05
1,5.3e1,4,4,-4,0,-5,4,7.75620e05
1,7.3e1,3,1,-1,0,-1,1,8.68936e05
0,8,1.95e02,4.0e1,-8,-1,0,0,7.55690e05
0,6.9e1,2.4e1,3,-1.6e1,0,0,3,3.64140e04
0,8.4e1,2.4e1,1.3e1,-1,0,-1,0,3.12709e05
1,7.6e1,9,-4,0,0,-1,0,5.33940e04
1,6.2e1,4.4e1,0,-4,6,-1,0,3.01535e05
0,5.6e1,6.0e1,2.1e1,-5,0,-1,-1,5.67197e05
1,3.3e1,1.4e1,6,-9,-1,0,0,5.81797e05
0,2.7e1,2.2e2,3.3e1,3.1e1,-1,0,0,9.83583e05
1,8.3e1,1.5e1,0,5,-1,-1,2,4.50452e05
1,7.8e1,1.1e1,0,8,1,2,-2,1.07358e05
0,4.0e1,7.2e1,4,-4,0,0,0,1.54603e05
1,2.6e1,2,0,0,-1,0,1,8.98828e05
0,5.6e1,2.7e1,9,0,-1,0,0,4.24200e05
0,3.0e1,1.04e02,1.6e1,8,-1,-1,1,8.63100e03
1,4.3e1,1.4e1,-1.6e1,2.0e1,0,-3,3,5.58340e04
1,8.4e1,8,4,-7,-1,-4,4,9.60016e05
0,5.6e1,5.9e1,2.8e1,4,-1,1,-1,8.92535e05
1,6.4e1,4,-1,1,-4,5,-1,7.88942e05
1,7.7e1,8,8,-1.2e1,0,3,-2,7.34478e05
1,4.0e1,8,2,-2,0,0,0,8.28085e05
0,4.5e1,1.12e02,1.7e1,-2.1e1,-7,0,0,5.95950e05
0,6.1e1,1.04e02,-8.3e1,-1.2e2,5,0,-1,6.72933e05
1,3.0e1,4.4e1,8,0,-2,0,0,5.62771e05
0,6.0e1,3.1e1,4,4,0,0,0,1.98550e05
0,1.2e1,8.0e1,2.4e1,8,0,-1,0,8.53120e05
0,8.3e1,2.0e1,6.3e1,1.45e02,-1,-2,-5,7.55210e04
1,5.9e1,4,0,0,-1,1,0,1.74068e05
1,8.7e1,8,0,0,0,-1,0,2.86461e05
1,5.6e1,1.2e1,0,4,5,-4,-1,9.68850e05
1,1.2e1,1.5e1,2,0,-2,0,0,2.03537e05
1,5.8e1,8,0,0,2,0,0,8.93900e04
1,4.5e1,2.1e1,2,0,-1,3,-3,6.01268e05
1,6.7e1,0,0,-1.2e1,1,-1,-2,8.85321e05
0,1.7e1,1.1e2,0,-2.4e1,0,0,1,2.90085e05
1,7.6e1,4,-4,-3,4,-4,0,6.69372e05
1,7.3e1,2.0e1,4,-1.6e1,0,-1,0,7.66190e05
1,7,1.0e1,-2.6e1,0,-1,0,1,6.55594e05
1,5.6e1,0,-8,0,4,-4,0,2.93141e05
0,7,1.62e02,6.4e1,2.2e1,-2,1,1,8.64362e05
1,7.8e1,0,0,2,0,0,-1,7.58899e05
0,6.7e1,2.3e1,0,4,1,5,-6,9.61405e05
0,1.2e1,2.32e02,8,-2.4e1,-1,0,0,3.95430e05
0,4.4e1,6.8e1,4,1,0,-4,3,4.16650e05
0,6.4e1,7.6e1,-7.1e1,-1.16e02,-7,1,-1,8.38463e05
0,7.1e1,2.3e1,9,8,0,-1,0,3.14990e04
0,6.7e1,2.4e1,-4,-1.6e1,1,-1,-2,1.37443e05
1,6.8e1,1.6e1,8,4,-1,0,0,7.40770e04
1,6.7e1,7,0,0,0,0,0,4.45328e05
1,3.5e1,4,0,8,-2,0,1,5.91875e05
1,8.0e1,0,0,8,1,-1,5,8.23228e05
0,7.6e1,4.7e1,-1.3e1,-2.2e1,-8,6,0,5.03528e05
1,5.6e1,1,0,-3,-2,2,0,5.97526e05
0,2.5e1,1.39e02,2.4e1,0,1,0,0,5.64410e04
0,2.3e1,2.11e02,1.6e1,0,-2,-1,0,1.72570e04
0,4.7e1,4.9e1,1.1e1,-4,-5,1,-1,7.00752e05
1,7.6e1,8,7,6,0,0,0,6.37800e05
1,8.3e1,0,8,-7,0,-3,3,6.08963e05
1,7.2e1,0,0,8,0,0,0,1.11610e05
1,4.1e1,2.6e1,0,4,0,-1,1,3.33792e05
1,7.0e1,1.3e1,-1,-4,0,-1,7,7.92400e03
0,6.8e1,1.0e2,-1.3e1,-1.6e1,-1,-2,-2,5.97272e05
0,2.6e1,1.24e02,2.4e1,8,1,0,1,7.61498e05
1,7.8e1,7,4,0,-1,1,-3,2.63134e05
0,3.1e1,7.4e1,6,6,-1,0,5,6.05468e05
1,8.0e1,4,0,0,1,-1,1,9.95063e05
